M̻s/Ano,Estadual,Nacional
6/2025,"109,4904","117,4858"
5/2025,"109,2316","116,765"
4/2025,"110,5105","119,6235"
3/2025,"108,6586","119,8211"
2/2025,"107,1168","119,1668"
1/2025,"117,2534","123,047"
12/2024,"134,2558","128,5831"
11/2024,"140,2564","130,3556"
10/2024,"131,9656","127,2632"
9/2024,"123,7521","123,6904"
8/2024,"117,5516","119,2007"
7/2024,"120,0369","121,7345"
6/2024,"118,9727","121,3981"
5/2024,"114,0022","118,2335"
4/2024,"108,1828","113,1347"
3/2024,"103,2496","106,5652"
2/2024,"97,6436","105,3475"
1/2024,"107,7371","116,9254"
12/2023,"122,9548","130,4195"
11/2023,"121,2374","130,5401"
10/2023,"119,6291","128,0043"
9/2023,"119,2491","130,9774"
8/2023,"117,4026","130,7555"
7/2023,"110,8743","126,516"
6/2023,"107,7732","119,3202"
5/2023,"112,0696","122,0503"
4/2023,"125,2306","135,929"
3/2023,"140,0883","151,7918"
2/2023,"146,9514","159,6227"
1/2023,"153,8375","164,8989"
12/2022,"161,2294","167,8738"
11/2022,"166,4214","170,1859"
10/2022,"160,1337","167,2148"
9/2022,"160,6848","169,2618"
8/2022,"160,7707","170,1701"
7/2022,"162,7612","173,1207"
6/2022,"167,0821","177,164"
5/2022,"169,6312","179,881"
4/2022,"163,8339","175,3033"
3/2022,"179,2949","191,9989"
2/2022,"172,8668","183,7549"
1/2022,"157,6591","168,3471"
12/2021,"147,7805","158,5404"
11/2021,"150,7073","156,2219"
10/2021,"159,1253","160,0081"
9/2021,"163,2808","159,3011"
8/2021,"164,3178","158,4395"
7/2021,"153,2396","151,7851"
6/2021,"149,7397","152,1141"
5/2021,"162,8333","164,071"
4/2021,"160,8866","163,2929"
3/2021,"156,5591","158,7933"
2/2021,"150,3854","154,5318"
1/2021,"147,6618","148,7721"
12/2020,"147,9145","140,9301"
11/2020,"169,1946","157,3982"
10/2020,"156,7972","147,4121"
9/2020,"130,8449","128,3004"
8/2020,"117,0222","113,3375"
7/2020,"104,0607","102,9306"
6/2020,"95,6078","95,8284"
5/2020,"95,629","94,7799"
4/2020,"87,6745","87,712"
3/2020,"79,889","81,8793"
2/2020,"73,4461","76,6416"
1/2020,"74,7031","77,4824"
12/2019,"77,6578","78,6838"
11/2019,"76,914","78,0108"
10/2019,"74,5128","76,9515"
9/2019,"73,7361","75,7721"
8/2019,"69,4429","71,631"
7/2019,"63,9699","68,4306"
6/2019,"65,2316","70,1475"
5/2019,"63,1625","66,1616"
4/2019,"63,8157","67,6829"
3/2019,"64,1039","69,1283"
2/2019,"62,3846","67,5871"
1/2019,"62,2195","69,278"
12/2018,"66,0011","72,1574"
11/2018,"67,3536","74,0273"
10/2018,"71,9475","77,8646"
9/2018,"74,5567","79,5278"
8/2018,"71,6202","75,8643"
7/2018,"69,9632","73,8362"
6/2018,"71,6051","72,0655"
5/2018,"70,7859","74,3269"
4/2018,"67,7963","72,2781"
3/2018,"62,9935","67,2818"
2/2018,"58,9275","62,4139"
1/2018,"57,5758","61,9512"
12/2017,"59,0193","63,3514"
11/2017,"58,8494","62,4569"
10/2017,"57,4391","60,4003"
9/2017,"55,6064","58,9046"
8/2017,"54,0753","58,5431"
7/2017,"56,1382","60,3109"
6/2017,"54,4073","58,3028"
5/2017,"54,4562","57,9241"
4/2017,"51,0063","55,7525"
3/2017,"55,7307","61,4242"
2/2017,"58,8809","64,2665"
1/2017,"62,2955","67,1815"
12/2016,"65,4482","69,941"
11/2016,"67,4912","69,111"
10/2016,"71,0813","69,5339"
9/2016,"70,6414","70,5603"
8/2016,"71,217","70,9738"
7/2016,"75,2391","76,1042"
6/2016,"83,2018","80,6961"
5/2016,"73,7497","72,3155"
4/2016,"61,5107","65,0611"
3/2016,"58,9407","65,5215"
2/2016,"62,9927","70,1485"
1/2016,"66,7628","71,6657"
12/2015,"65,2294","70,2052"
11/2015,"65,4346","71,2137"
10/2015,"67,8806","72,0625"
9/2015,"65,7242","69,0592"
8/2015,"59,7527","64,8137"
7/2015,"57,2552","61,5629"
6/2015,"54,2962","57,9628"
5/2015,"54,0844","57,2642"
4/2015,"55,3615","59,1233"
3/2015,"55,7112","60,0172"
2/2015,"51,1383","55,6737"
1/2015,"53,2508","56,6907"
12/2014,"56,5336","58,5242"
11/2014,"56,6173","57,4749"
10/2014,"53,6219","54,2005"
9/2014,"53,7148","54,1506"
8/2014,"56,4311","57,5588"
7/2014,"55,0277","57,7991"
6/2014,"57,3626","61,403"
5/2014,"57,3806","61,4476"
4/2014,"55,6393","61,4241"
3/2014,"55,1181","62,8381"
2/2014,"53,7762","61,3194"
1/2014,"55,0727","61,8907"
12/2013,"61,9137","65,1907"
11/2013,"61,7147","64,8517"
10/2013,"59,65","63,4433"
9/2013,"59,0485","63,1708"
8/2013,"54,6352","59,0522"
7/2013,"54,3038","60,0837"
6/2013,"54,3265","58,2958"
5/2013,"48,2672","52,7482"
4/2013,"43,3512","51,2587"
3/2013,"45,3291","54,2453"
2/2013,"47,719","56,732"
1/2013,"53,4468","60,1132"
12/2012,"65,5669","66,798"
11/2012,"66,4129","66,9942"
10/2012,"67,6454","69,3583"
9/2012,"72,5522","75,0114"
8/2012,"71,1936","71,848"
7/2012,"66,8305","65,1812"
6/2012,"58,0421","56,6668"
5/2012,"53,7477","53,977"
4/2012,"49,0488","50,9634"
3/2012,"43,7411","45,8106"
2/2012,"38,5376","42,294"
1/2012,"38,8842","41,972"
12/2011,"37,7835","40,806"
11/2011,"38,8961","41,3245"
10/2011,"40,3807","42,2553"
9/2011,"42,1055","43,7439"
8/2011,"40,0545","41,3443"
7/2011,"38,5916","40,5608"
6/2011,"38,4155","40,6801"
5/2011,"37,7075","40,2739"
4/2011,"36,9964","41,5964"
3/2011,"38,9326","43,0525"
2/2011,"40,8013","44,8849"
1/2011,"42,267","44,6908"
12/2010,"43,9155","44,1623"
11/2010,"43,8356","42,9463"
10/2010,"39,891","39,8339"
9/2010,"37,2669","38,0546"
8/2010,"35,2727","36,8517"
7/2010,"32,121","34,1392"
6/2010,"29,8298","32,5076"
5/2010,"28,5116","31,9699"
4/2010,"27,2676","31,6267"
3/2010,"25,998","32,0391"
2/2010,"27,2548","34,6757"
1/2010,"31,1782","38,4233"
12/2009,"36,1537","40,4875"
11/2009,"38,2198","40,9549"
10/2009,"37,9311","41,1193"
9/2009,"39,2633","41,8283"
8/2009,"40,7814","42,9887"
7/2009,"39,3092","42,8687"
6/2009,"41,4759","45,2255"
5/2009,"41,4439","45,4917"
4/2009,"38,9496","43,6527"
3/2009,"36,2541","41,2643"
2/2009,"37,827","44,2186"
1/2009,"39,2535","43,3417"
12/2008,"35,7145","41,0572"
11/2008,"38,3209","41,3938"
10/2008,"37,6106","41,2113"
9/2008,"38,9512","41,8478"
8/2008,"36,6024","40,7546"
7/2008,"43,1599","46,7106"
6/2008,"41,9257","44,3478"
5/2008,"37,5141","41,345"
4/2008,"36,7754","41,3616"
3/2008,"38,1866","43,6954"
2/2008,"40,3197","43,533"
1/2008,"36,24","40,4589"
12/2007,"35,1258","38,9736"
11/2007,"33,4084","37,0644"
10/2007,"31,5605","35,5977"
9/2007,"30,2388","33,8835"
8/2007,"26,49","29,6467"
7/2007,"24,214","27,4488"
6/2007,"23,2932","27,0199"
5/2007,"22,7513","26,4346"
4/2007,"22,1877","26,7123"
3/2007,"23,822","28,1665"
2/2007,"24,2","28,3438"
1/2007,"23,4044","27,7059"
12/2006,"24,6132","28,3921"
11/2006,"22,3133","27,6505"
10/2006,"20,1005","24,9539"
9/2006,"18,6629","23,1931"
8/2006,"18,8522","23,3694"
7/2006,"20,7268","23,7472"
6/2006,"20,618","23,9619"
5/2006,"18,7911","22,7371"
4/2006,"17,3838","22,0104"
3/2006,"18,0265","22,7376"
2/2006,"19,884","24,5111"
1/2006,"22,3239","25,7087"
12/2005,"22,6356","25,3932"
11/2005,"21,5596","24,4693"
10/2005,"21,7946","25,039"
9/2005,"22,292","26,463"
8/2005,"24,0253","27,878"
7/2005,"25,6543","28,587"
6/2005,"25,4833","29,0678"
5/2005,"25,92","28,357"
4/2005,"26,4077","30,2204"
3/2005,"28,184","31,118"
2/2005,"24,1523","27,3999"
1/2005,"27,8989","29,8087"
11/2004,30,"31,9385"
10/2004,"30,9464","32,2154"
9/2004,"31,9363","35,5496"
8/2004,"31,8333","34,9411"
7/2004,"34,0818","37,5474"
6/2004,"38,5913","40,7781"
5/2004,"44,8723","47,493"
4/2004,"45,9456","48,7279"
3/2004,"45,3777","50,0455"
